"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","test_booking_appearing_in_ids","tests.api","2026-09-03","passed","2026-09-03","","test_read_booking","",""
"","1845","test_upload[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"/download lists whatever strangers upload, so hardcoded filenames rot.
    Fix: OWN the data — upload a uniquely named file, then download that exact file.
    (tmp_path is a pytest built-in fixture: a fresh temp folder per test.)","1134","test_upload_then_download_roundtrip[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","44","test_get_token","tests.api","2026-09-03","passed","2026-09-03","","test_auth","",""
"","5","test_create_booking","tests.api","2026-09-03","passed","2026-09-03","","test_create_booking","",""
"","818","test_checkboxes[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","68","test_sort_options[chromium-az]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","764","test_hovers[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","1","test_delete_without_token","tests.api","2026-09-03","passed","2026-09-03","","test_delete_booking","",""
"","1060","test_fill_and_press[chromium-invaliduser-SuperSecretPassword!-Your username is invalid!]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","67","test_sort_options[chromium-lohi]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","771","test_dropdown[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","2371","test_form[chromium-Aisha-Patel-aishapatel@proton.me]","tests.ui","2026-09-03","passed","2026-09-03","","test_demoqa","",""
"","891","test_click_action[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","162","test_login_successful[chromium-standard_user]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","5178","test_login_successful[chromium-performance_glitch_user]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","762","test_context_menu[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","455","test_example_1[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login","",""
"","118","test_checkout_form_requires_all_fields[chromium-Solid-Snake--Error: Postal Code is required]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","73","test_sort_options[chromium-hilo]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","49","test_ping","tests.api","2026-09-03","passed","2026-09-03","","test_auth","",""
"","129","test_checkout_overview_subtotal[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","59","test_back_home_after_order[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","1060","test_logout_from_cart[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","193","test_checkout_happy[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","2320","test_form[chromium-Jane-Doe-janedoe@gmail.com]","tests.ui","2026-09-03","passed","2026-09-03","","test_demoqa","",""
"","66","test_ping","tests.api","2026-09-03","passed","2026-09-03","","test_playwright_example","",""
"","157","test_login_successful[chromium-problem_user]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","919","test_drag_and_drop[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","225","test_opens_the_shop[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_first","",""
"","1056","test_fill_and_press[chromium-tomsmith-SuperSecretPassword!-Welcome to the Secure Area. When you are done click logout below.]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","7","test_create_without_field","tests.api","2026-09-03","passed","2026-09-03","","test_create_booking","",""
"","42","test_sort_dropdown_count[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","143","test_cart_page_loads[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","2505","test_form[chromium-Wei-Chen-weichen@outlook.com]","tests.ui","2026-09-03","passed","2026-09-03","","test_demoqa","",""
"","680","test_checkout_happy_path[chromium-sauce-labs-bolt-t-shirt]","tests.ui","2026-09-03","passed","2026-09-03","","test_e2e_swag_labs","",""
"","5","test_missing_booking_is_404","tests.api","2026-09-03","passed","2026-09-03","","test_read_booking","",""
"","160","test_checkout_with_different_customers[chromium-Grace-Hopper-12345]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","168","test_login_successful_one[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
