"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","test_remove_both_items_by_chaining[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","373","test_context_menu[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","82","test_sort_options[chromium-hilo]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","10","test_put_replaces_the_whole_booking","tests.api","2026-09-03","passed","2026-09-03","","test_update_booking","",""
"","529","test_fill_and_press[chromium-invaliduser-SuperSecretPassword!-Your username is invalid!]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","138","test_checkout_form_requires_all_fields[chromium--Snake-00001-Error: First Name is required]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","2133","test_form[chromium-Jane-Doe-janedoe@gmail.com]","tests.ui","2026-09-03","passed","2026-09-03","","test_demoqa","",""
"","101","test_checkout_form_requires_all_fields[chromium-Solid-Snake--Error: Postal Code is required]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","151","test_each_product_can_be_added[chromium-sauce-labs-bike-light-Sauce Labs Bike Light]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","66","test_ping","tests.api","2026-09-03","passed","2026-09-03","","test_playwright_example","",""
"","5167","test_login_successful[chromium-performance_glitch_user]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","158","test_checkout_with_different_customers[chromium-Alan-Turing-M1 1AE]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","5","test_create_booking","tests.api","2026-09-03","passed","2026-09-03","","test_create_booking","",""
"","464","test_upload[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","0","test_delete_without_token","tests.api","2026-09-03","passed","2026-09-03","","test_delete_booking","",""
"","155","test_each_product_can_be_added[chromium-sauce-labs-backpack-Sauce Labs Backpack]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","2427","test_form[chromium-John-Smith-johnsmith@gmail.com]","tests.ui","2026-09-03","passed","2026-09-03","","test_demoqa","",""
"","368","test_hovers[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","157","test_checkout_with_different_customers[chromium-Ada-Lovelace-SW1A 1AA]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","153","test_login_fails[chromium-locked_out_user-Epic sadface: Sorry, this user has been locked out.]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","269","test_remove_one_item_from_cart[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","108","test_cart_page_loads[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","507","test_fill_and_press[chromium-tomsmith-SuperSecretPassword-Your password is invalid!]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","111","test_checkout_overview_subtotal[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","82","test_sort_options[chromium-az]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","501","test_playwright_is_working[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_setup","",""
"","457","test_example_1[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login","",""
"","2022","test_form[chromium-Aisha-Patel-aishapatel@proton.me]","tests.ui","2026-09-03","passed","2026-09-03","","test_demoqa","",""
"","158","test_checkout_with_different_customers[chromium-Grace-Hopper-12345]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","683","test_checkout_happy_path[chromium-sauce-labs-onesie]","tests.ui","2026-09-03","passed","2026-09-03","","test_e2e_swag_labs","",""
"","157","test_login_successful[chromium-standard_user]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","163","test_login_successful[chromium-visual_user]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","48","test_sort_dropdown_count[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","1051","test_logout_from_cart[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","79","test_sort_options[chromium-za]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","1062","test_fill_and_press[chromium-tomsmith-SuperSecretPassword!-Welcome to the Secure Area. When you are done click logout below.]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","655","test_checkout_happy_path[chromium-sauce-labs-bike-light]","tests.ui","2026-09-03","passed","2026-09-03","","test_e2e_swag_labs","",""
"","58","test_back_home_after_order[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","570","test_drag_and_drop[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","381","test_dropdown[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","48","test_login_credentials[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","1201","test_hidden_ad[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","171","test_each_product_can_be_added[chromium-sauce-labs-onesie-Sauce Labs Onesie]","tests.ui","2026-09-03","passed","2026-09-03","","test_cart","",""
"","46","test_ping","tests.api","2026-09-03","passed","2026-09-03","","test_auth","",""
"","52","test_sort_dropdown_visible[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","6","test_missing_booking_is_404","tests.api","2026-09-03","passed","2026-09-03","","test_read_booking","",""
"","119","test_checkout_form_requires_all_fields[chromium-Solid--00001-Error: Last Name is required]","tests.ui","2026-09-03","passed","2026-09-03","","test_checkout","",""
"","82","test_sort_options[chromium-lohi]","tests.ui","2026-09-03","passed","2026-09-03","","test_inventory","",""
"","468","test_checkboxes[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","653","test_checkout_happy_path[chromium-sauce-labs-backpack]","tests.ui","2026-09-03","passed","2026-09-03","","test_e2e_swag_labs","",""
"The partial change — PATCH sends ONLY what moves.","10","test_patch_changes_only_the_firstname","tests.api","2026-09-03","passed","2026-09-03","","test_update_booking","",""
"","138","test_login_successful[chromium-problem_user]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","152","test_login_fails[chromium-not_a_user-Epic sadface: Username and password do not match any user in this service]","tests.ui","2026-09-03","passed","2026-09-03","","test_login_page","",""
"","11","test_deleted_booking_is_gone","tests.api","2026-09-03","passed","2026-09-03","","test_delete_booking","",""
"Every verb of the block, one readable story. The interview classic.","30","test_full_booking_lifecycle","tests.api","2026-09-03","passed","2026-09-03","","test_delete_booking","",""
"","535","test_fill_and_press[chromium-johndoe-password123-Your username is invalid!]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
"","11","test_booking_appearing_in_ids","tests.api","2026-09-03","passed","2026-09-03","","test_read_booking","",""
"","5","test_created_booking_reads_back","tests.api","2026-09-03","passed","2026-09-03","","test_read_booking","",""
"","444","test_example_2[chromium]","tests.ui","2026-09-03","passed","2026-09-03","","test_login","",""
"","564","test_fill_and_press[chromium-tomsmith-wrongpassword-Your password is invalid!]","tests.ui","2026-09-03","passed","2026-09-03","","test_internet","",""
